UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
MS;212405;62023;                  07;  30;02;3568.80;                  01
MS;317210;85201;                  07;  23;08;1340.44;                  01
MS;317210;85201;                  07;  29;08;1791.67;                  01
MS;317210;85201;                  07;  22;02;1323.89;                  01
MS;317210;84116;                  07;  45;99;4246.80;                  01
MS;317210;85201;                  07;  26;08;1356.99;                  01
MS;212420;85503;                  07;  47;02;3020.00;                  01
MS;317110;82113;                  07;  25;08;8886.58;                  01
MS;317210;86101;                  07;  50;09;5119.03;                  01
MS;317110;84116;                  07;  47;99;1515.26;                  01
MS;212405;62023;                  07;  49;02;1465.40;                  01
MS;317205;86101;                  07;  29;02;2345.27;                  01
MS;212420;62091;                  07;  20;09;1500.00;                  01
MS;317110;62091;                  07;  19;09;1500.00;                  01
MS;317110;62091;                  07;  19;09;1650.00;                  01
MS;212420;62091;                  07;  42;09;3520.97;                  01
MS;212410;47814;                  07;  21;08;1402.00;                  01
MS;212405;60217;                  07;  36;02;3358.34;                  01
MS;317205;62031;                  07;  28;08;1234.00;                  01
MS;317210;62031;                  07;  54;08;2330.00;                  01
MS;317110;62031;                  07;  21;08;517.00;                  01
MS;317205;62031;                  07;  53;02;1234.00;                  01
MS;317205;84116;                  07;  28;99;3737.56;                  01
MS;212320;10538;                  07;  48;02;3033.33;                  01
MS;317210;85201;                  07;  20;08;1655.97;                  01
MS;212405;47440;                  07;  31;08;7972.50;                  01
MS;317110;49213;                  07;  38;08;3669.37;                  01
MS;317210;85201;                  07;  25;08;1390.08;                  01
MS;317210;62091;                  07;  27;02;1470.00;                  01
MS;317210;62091;                  07;  24;02;1900.00;                  01
MS;317210;62091;                  07;  28;02;2000.00;                  01
MS;317210;62091;                  07;  26;08;1470.00;                  01
MS;317210;62091;                  07;  24;04;1600.00;                  01
MS;317110;62091;                  07;  19;02;2500.00;                  01
MS;317210;62091;                  07;  33;02;1600.00;                  01
MS;317210;85201;                  07;  47;02;1765.19;                  01
MS;317210;85201;                  07;  20;08;1356.99;                  01
MS;317210;85201;                  07;  22;02;1323.89;                  01
MS;317210;85201;                  07;  19;08;1350.37;                  01
MS;317110;86101;                  07;  26;08;2330.67;                  01
MS;317210;62031;                  07;  43;08;3121.00;                  01
MS;317210;85201;                  07;  36;02;1323.89;                  01
MS;317210;86101;                  07;  32;08;3783.83;                  01
MS;142510;52117;                  07;  34;02;3260.61;                  01
MS;317205;86101;                  07;  33;02;5684.00;                  01
MS;317110;84116;                  07;  45;99;1716.95;                  01
MS;317210;62031;                  07;  29;08;2939.00;                  01
MS;317210;62031;                  07;  46;02;2055.26;                  01
MS;317210;62031;                  07;  43;08;6584.00;                  01
MS;317210;47296;                  07;  34;02;1252.00;                  01
MS;212420;62031;                  07;  20;02;1250.00;                  01
MS;317205;32400;                  07;  19;02;1911.00;                  01
MS;317210;85333;                  07;  31;02;2241.14;                  01
